aX,aY,aZ
0.852,0.012,-0.196
0.852,0.012,-0.196
0.852,0.012,-0.196
0.852,0.012,-0.196
0.852,0.012,-0.196
0.852,0.012,-0.196
0.852,0.012,-0.196
0.852,0.012,-0.196
0.852,0.012,-0.196
0.852,0.012,-0.052
1.088,-0.032,-0.056
1.088,-0.032,-0.056
1.088,-0.032,-0.056
1.088,-0.032,-0.056
1.088,-0.032,-0.056
1.088,-0.032,-0.056
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.336
1.504,0.164,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.520,-0.072,-0.224
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.364
1.424,0.044,-0.236
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,-0.072,-0.240
1.176,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.256,0.032,-0.280
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.024,-0.144
1.168,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.028,0.012,-0.152
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.124
1.008,0.056,-0.128
0.984,0.100,-0.128
0.984,0.100,-0.128
0.984,0.100,-0.128
